,price,amount
0,32142.88,160129.984
1,32138.15,125280.35200000001
2,32138.15,152626.996
3,32138.15,349049.5255
4,32138.15,275248.6465
5,32137.050000000003,231123.8205
6,32137.050000000003,105175.8
7,32136.500000000004,315434.35500000004
8,32136.390000000003,280463.04
9,32138.480000000003,251206.04640000002
10,32142.66,133596.5832
11,32142.66,141340.0422
12,32134.63,101311.72439999999
13,32134.300000000003,104962.309
14,32131.66,198281.5528
15,32128.250000000004,112974.61
16,32123.63,343868.8575
17,32121.980000000003,176174.4594
18,32121.980000000003,420243.1038
19,32125.170000000002,107444.0913
20,32125.170000000002,114920.4945
21,32125.170000000002,121754.39429999999
22,32121.320000000003,200466.238
23,32127.15,230497.698
24,32122.530000000002,292519.43909999996
25,32125.940000000006,254729.4988
26,32138.15,134629.63199999998
27,32142.770000000004,347083.4746
28,32141.230000000003,235712.0931
29,32141.230000000003,248247.1728
30,32136.06,723470.3544
31,32150.58,222774.2916
32,32146.4,120052.192
33,32156.63,206767.13090000002
34,32163.890000000003,156287.2655
35,32163.890000000003,120263.70870000002
36,32165.320000000003,125824.8836
37,32165.320000000003,223168.8384
38,32162.13,134759.3247
39,32158.06,130912.53879999998
40,32155.970000000005,107488.6379
41,32155.970000000005,100589.72069999999
42,32155.530000000002,102751.5345
43,32155.530000000002,166594.87769999998
44,32155.530000000002,451814.4288
45,32153.66,127620.79959999998
46,32147.61,114591.61709999999
47,32146.4,146120.0
48,32145.300000000003,112830.00300000001
49,32145.300000000003,146115.0
50,32157.070000000003,111906.6036
51,32152.120000000003,307374.2672
52,32148.270000000004,251779.40550000002
53,32145.63,244920.4773
54,32145.520000000004,211546.74480000001
55,32142.000000000004,192004.62
56,32156.08,103162.5512
57,32156.08,142802.228
58,32152.780000000002,138373.8732
59,32167.41,391009.4901
60,32167.300000000003,205490.56100000002
61,32166.090000000004,156473.4069
62,32171.15,235492.818
63,32165.980000000003,271597.8384
64,32166.200000000004,185832.91
65,32165.980000000003,171386.1898
66,32161.470000000005,153936.49049999999
67,32161.36,235742.76880000002
