,price,amount
0,28045.44,100320.876
1,28045.44,590093.586
2,28045.344,207535.5456
3,28051.775999999998,112557.75119999998
4,28042.272,260705.49750000003
5,28033.824,128605.1676
6,28033.824,582899.1259
7,28033.248,739172.5068999999
8,28033.248,119082.9014
9,28033.824,284630.9193
10,28032.96,594152.7470000001
11,28033.248,150299.0911
12,28033.728,181547.5906
13,28033.824,115873.1392
14,28037.471999999998,144305.3637
15,28037.76,102367.03
16,28038.816,161778.12689999997
17,28039.392,220897.8351
18,28034.304,249505.30560000002
19,28036.895999999997,214628.2799
20,28038.239999999998,131838.141
21,28036.895999999997,153005.5189
22,28034.304,125949.9512
23,28034.304,515422.36
24,28041.6,235520.23
25,28041.6,118212.87
26,28042.559999999998,147135.807
27,28045.344,292139.0
28,28045.344,110370.11420000001
29,28046.304,203394.1338
30,28047.935999999998,321236.51699999993
31,28047.935999999998,199987.62699999998
32,28048.607999999997,104481.0648
33,28050.624,292194.0
34,28043.52,585788.236
35,28044.0,112205.21250000001
36,28053.984,108416.959
37,28053.984,105260.8858
38,28056.575999999997,109479.0976
39,28058.784,250336.96349999998
40,28055.136,129375.09069999999
41,28059.552,122263.65209999999
42,28060.8,162928.02
43,28062.624,159752.3335
44,28063.104,149640.6556
45,28063.487999999998,132073.7904
46,28063.68,474802.386
47,28064.832,142136.6804
48,28069.344,165872.2797
49,28070.399999999998,114796.24
50,28070.399999999998,103421.88
51,28063.104,298316.642
52,28063.104,136573.7728
53,28054.175999999996,761641.6553
54,28054.752,170432.6184
55,28054.847999999998,112044.0492
56,28054.944,106111.9809
57,28059.456,677898.9198
58,28062.528,125316.7266
59,28060.127999999997,249179.7825
60,28056.768,124268.1016
61,28050.624,987557.2812000001
62,28054.368,190389.7995
63,28055.807999999997,120172.3776
64,28056.0,500127.425
65,28060.704,100024.71780000001
66,28059.264,134626.0104
67,28059.264,704696.724
68,28071.552,518387.99360000005
69,28072.224000000002,542378.7612
70,28074.912,108029.9218
71,28075.2,173422.85
72,28075.392,150554.2896
73,28072.224000000002,117435.4704
74,28062.912,109006.8738
75,28062.912,125347.67360000001
76,28062.912,470463.02680000005
77,28067.136,457698.97299999994
78,28076.16,181763.88999999998
79,28077.12,147375.633
80,28074.624,584917.2444000001
81,28077.504,1113126.7966
82,28078.559999999998,191636.172
83,28079.807999999997,423537.104
84,28080.0,195390.0
85,28080.0,452468.25
86,28075.104,150611.23500000002
87,28077.888,108363.099
88,28080.864,107497.0575
89,28084.8,174155.015
90,28085.76,298498.968
91,28085.76,412714.392
92,28080.095999999998,249971.35459999996
93,28080.095999999998,116093.64689999999
94,28080.095999999998,276120.94399999996
95,28080.96,147015.52599999998
96,28085.855999999996,182060.71029999998
97,28086.336,304239.38339999993
98,28086.336,235076.781
99,28087.392,117030.8
100,28089.024,117037.6
101,28087.775999999998,500079.44519999996
102,28088.64,156330.837
103,28089.024,101500.8586
104,28089.6,138312.02000000002
105,28089.6,817846.26
106,28093.344,146319.5
107,28096.224000000002,214087.37350000002
108,28093.92,129758.793
109,28096.32,109224.444
110,28097.76,102293.4075
111,28094.015999999996,124930.5774
112,28096.415999999997,117068.4
113,28096.704,134015.4246
114,28094.208,211233.3264
115,28080.672,116242.28180000001
116,28080.672,168981.29390000002
117,28082.304,216877.2936
118,28082.399999999998,287552.075
119,28082.399999999998,114231.0125
120,28082.015999999996,167585.28089999998
121,28083.744,142846.7937
122,28083.84,178361.638
123,28083.84,284173.356
124,28087.296,292605.25759999995
125,28087.296,176832.93439999997
126,28088.447999999997,464073.8268
127,28094.112,367447.5732
128,28099.2,440162.26
129,28100.16,159322.05299999999
130,28102.368,188080.95249999998
131,28104.96,134611.048
132,28105.344,452378.9328
133,28105.344,199782.15360000002
134,28103.807999999997,631662.3596000001
135,28105.728,237903.2768
136,28105.92,121967.982
137,28105.824,340753.8391
138,28105.055999999997,298586.94389999995
139,28105.152,177501.6006
140,28105.055999999997,878283.0
141,28097.952,155416.797
142,28101.408,146507.8615
143,28101.504,122973.35239999999
144,28101.504,112903.64680000002
145,28105.92,146385.0
146,28101.6,113226.03
147,28096.415999999997,159973.9686
148,28096.512,274760.4736
149,28098.816,117810.14
150,28099.775999999998,196552.079
151,28103.712,146461.3241
152,28098.144,266229.9144
153,28100.544,126159.734
154,28103.424,151085.1784
155,28105.344,141902.71080000003
156,28108.32,125491.93699999999
157,28108.32,148652.0215
158,28108.32,206186.239
159,28108.8,305888.16
160,28108.895999999997,121043.93340000001
161,28111.967999999997,121642.82819999999
162,28112.544,100560.91260000001
163,28112.255999999998,170899.0896
164,28113.408,147448.968
165,28113.6,245554.725
166,28113.695999999996,185052.5469
167,28113.792,300495.4372
168,28113.984,143234.8914
169,28114.752,101564.5416
170,28115.136,109971.18299999999
171,28116.384000000002,124620.0145
172,28116.48,989085.0480000001
173,28116.575999999997,161699.60009999998
174,28118.015999999996,207663.264
175,28117.44,339313.065
176,28118.399999999998,424997.89999999997
177,28118.976,172550.9246
178,28119.36,338135.304
179,28119.647999999997,111658.4356
180,28119.744,194904.9756
181,28121.184,107856.4578
182,28121.568,123119.7399
183,28122.239999999998,197617.32400000002
184,28123.2,618153.7949999999
185,28123.967999999997,115659.81839999999
186,28122.624,208283.184
187,28124.832,150438.5545
188,28124.928,254354.8176
189,28124.544,156882.222
190,28125.408,199924.7752
191,28126.464,150857.4616
192,28126.656,141043.46039999998
193,28126.847999999998,126834.50519999999
194,28127.136,223727.9276
195,28127.615999999998,665452.5151999999
196,28127.712,178142.176
197,28128.0,2769055.1
198,28128.48,151219.8805
199,28129.44,118465.9645
200,28130.112,110029.761
201,28131.552,102562.95
202,28131.84,114490.728
203,28131.072,121959.9184
204,28132.224000000002,151943.31399999998
205,28132.512,151475.9943
206,28133.471999999998,176713.371
207,28133.088,184682.00059999997
208,28132.992,103476.6612
209,28134.144,139879.4472
210,28134.528,212650.1408
211,28135.967999999997,171863.8712
212,28135.68,126962.256
213,28136.16,281244.366
214,28136.352,113541.9038
215,28137.024,303029.8866
216,28137.6,900256.65
217,28137.215999999997,127789.856
218,28137.311999999998,141946.8771
219,28137.888,122458.4334
220,28138.175999999996,232726.164
221,28138.559999999998,104288.538
222,28138.559999999998,148342.971
223,28136.16,762519.2445
224,28136.064000000002,183265.42520000003
225,28137.408,205227.21959999998
226,28137.215999999997,123041.7008
227,28137.6,310861.86
228,28137.695999999996,105135.3287
229,28138.079999999998,252539.26799999998
230,28138.368,251047.00199999998
231,28138.464,585661.0929
232,28138.559999999998,481667.663
233,28139.327999999998,102884.41799999999
234,28142.399999999998,159414.97
235,28144.127999999997,132863.7376
236,28146.336,104815.7825
237,28146.624,168586.55000000002
238,28146.816,559740.4836
239,28147.2,1707186.32
240,28147.392,266168.7756
241,28130.015999999996,214579.2783
242,28135.2,131971.67250000002
243,28135.2,132469.9
244,28137.888,101325.7071
245,28139.232,117393.3585
246,28140.0,136391.0625
247,28139.904,391936.10040000005
248,28142.496,142911.1125
249,28139.615999999998,201403.4391
250,28139.712,431475.58400000003
251,28133.568,375172.8516
252,28134.816,233665.5083
253,28139.52,101360.89600000001
254,28146.144,360299.9621
255,28149.024,213668.6853
256,28149.12,128752.902
257,28151.039999999997,152220.884
258,28146.048,252464.18680000002
259,28145.375999999997,501251.5557
260,28145.471999999998,202412.8528
261,28145.471999999998,354515.6744
262,28145.855999999996,112466.14959999999
263,28151.52,230783.815
264,28151.039999999997,152338.18000000002
265,28152.0,324011.925
266,28149.504,187370.136
267,28149.504,102012.62960000001
268,28149.504,121951.8616
269,28151.424,227264.1
270,28151.424,100846.6116
271,28153.824,139742.6785
272,28153.92,299633.95900000003
273,28154.015999999996,100122.7194
274,28154.399999999998,147018.7575
275,28154.879999999997,117781.248
276,28156.8,206131.24
277,28154.015999999996,1038589.9194
278,28158.719999999998,118765.26800000001
279,28159.584,143027.22040000002
280,28159.68,338062.825
281,28160.64,304017.576
282,28161.6,194755.065
283,28162.464,161112.7628
284,28162.944,127437.32160000001
285,28158.912,631844.9202
286,28160.447999999997,108124.3868
287,28162.944,132717.87360000002
288,28163.52,199931.655
289,28147.68,379348.629
290,28136.544,348775.91000000003
291,28137.215999999997,419420.376
292,28140.768,139062.2952
293,28140.864,138769.6356
294,28139.615999999998,293121.0
295,28135.296,683160.156
296,28136.255999999998,527203.0967999999
297,28135.392,214884.0564
298,28136.544,352527.44920000003
299,28138.656,140370.85789999997
300,28141.055999999997,138301.5648
301,28141.055999999997,176848.9488
302,28141.055999999997,740549.4768000001
303,28141.152,151551.829
304,28141.152,647950.0248
305,28141.248,139123.2948
306,28142.399999999998,138747.895
307,28146.144,141375.7358
308,28146.528,116808.0912
309,28147.296,101476.86609999998
310,28147.296,200051.0423
311,28143.744,102607.40000000001
312,28136.255999999998,527554.7999999999
313,28119.935999999998,365354.1268
314,28120.032,437266.49760000006
315,28121.471999999998,111607.092
316,28125.504,253422.51
317,28128.0,169910.7
318,28135.392,279536.84260000003
319,28137.6,114836.58
320,28136.928,145051.72569999998
321,28132.415999999997,1165033.6776
322,28132.512,463102.17410000006
323,28140.864,117458.7938
324,28140.864,141994.10960000003
325,28142.399999999998,267411.43
326,28136.735999999997,173099.5446
327,28136.735999999997,329991.1569
328,28143.36,176804.796
329,28143.456,281141.399
330,28143.456,144792.2179
331,28145.28,491662.86
332,28147.2,201604.32
333,28143.456,1087656.6261
334,28150.847999999998,139082.78340000001
335,28151.904,130906.35360000002
336,28152.0,151111.72499999998
337,28156.704,131867.23040000003
338,28156.704,129638.15800000001
339,28156.704,262649.25450000004
340,28158.816,168512.91449999998
341,28158.912,983127.3474000001
342,28163.615999999998,368826.02119999996
343,28153.824,686190.8062
344,28153.92,100855.553
345,28154.304,129216.5244
346,28156.032,257950.314
347,28157.088,293303.0
348,28153.92,239015.05000000002
349,28154.015999999996,264618.42329999997
350,28155.935999999998,144651.1212
351,28148.064000000002,180001.0051
352,28148.064000000002,338421.8278
353,28152.384000000002,146978.9048
354,28147.2,101095.36
355,28143.647999999997,227816.9673
356,28143.647999999997,310606.1985
357,28146.624,247690.29120000004
358,28147.2,619209.08
359,28146.624,102676.5388
360,28143.647999999997,249833.5086
361,28125.792,336571.9776
362,28119.84,204776.87649999998
363,28119.935999999998,105449.76
364,28113.695999999996,200046.51810000002
365,28113.695999999996,132163.6563
366,28111.967999999997,191073.5325
367,28113.695999999996,179459.09279999998
368,28104.095999999998,155714.25689999998
369,28105.152,121262.02040000001
370,28093.44,138506.512
371,28095.167999999998,183789.22400000002
