time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1695255104433,BUY,LIMIT,IOC,0.036,27203.06,27095.90,FILLED,0.036,0.036
1695255104433,BUY,LIMIT,IOC,0.036,27203.06,27095.90,FILLED,0.036,0.036
1695257110465,BUY,LIMIT,IOC,0.144,27235.70,27127.30,FILLED,0.144,0.144
1695257110465,BUY,LIMIT,IOC,0.144,27235.70,27127.30,FILLED,0.144,0.144
1695257206073,BUY,LIMIT,IOC,0.070,27195.97,27143.00,FILLED,0.070,0.070
1695257206073,BUY,LIMIT,IOC,0.070,27195.97,27143.00,FILLED,0.070,0.070
1695257216451,SELL,LIMIT,IOC,0.150,27063.53,27143.10,FILLED,0.150,0.150
1695257216451,SELL,LIMIT,IOC,0.150,27063.53,27143.10,FILLED,0.150,0.150
1695257218066,BUY,LIMIT,IOC,0.008,27188.26,27144.70,FILLED,0.008,0.008
1695257218066,BUY,LIMIT,IOC,0.008,27188.26,27144.70,FILLED,0.008,0.008
1695257221107,BUY,LIMIT,IOC,0.003,27254.08,27148.00,FILLED,0.003,0.003
1695257221107,BUY,LIMIT,IOC,0.003,27254.08,27148.00,FILLED,0.003,0.003
1695257222550,BUY,LIMIT,IOC,0.008,27254.59,27146.70,FILLED,0.008,0.008
1695257222550,BUY,LIMIT,IOC,0.008,27254.59,27146.70,FILLED,0.008,0.008
1695257224438,BUY,LIMIT,IOC,0.019,27256.89,27148.90,FILLED,0.019,0.019
1695257224438,BUY,LIMIT,IOC,0.019,27256.89,27148.90,FILLED,0.019,0.019
1695257677479,SELL,LIMIT,IOC,0.002,26938.01,27036.40,FILLED,0.002,0.002
1695257677479,SELL,LIMIT,IOC,0.002,26938.01,27036.40,FILLED,0.002,0.002
1695257681173,SELL,LIMIT,IOC,0.188,26932.35,27040.20,FILLED,0.188,0.188
1695257681173,SELL,LIMIT,IOC,0.188,26932.35,27040.20,FILLED,0.188,0.188
1695257877909,SELL,LIMIT,IOC,0.004,26927.30,27034.90,FILLED,0.004,0.004
1695257877909,SELL,LIMIT,IOC,0.004,26927.30,27034.90,FILLED,0.004,0.004
1695257975204,SELL,LIMIT,IOC,0.061,26926.72,27032.00,FILLED,0.061,0.061
1695257975204,SELL,LIMIT,IOC,0.061,26926.72,27032.00,FILLED,0.061,0.061
1695258007340,SELL,LIMIT,IOC,0.004,26925.23,27029.50,FILLED,0.001,0.004
1695258007340,SELL,LIMIT,IOC,0.004,26925.23,27029.50,FILLED,0.001,0.004
1695258009103,SELL,LIMIT,IOC,0.019,26923.21,27027.00,FILLED,0.019,0.019
1695258009103,SELL,LIMIT,IOC,0.019,26923.21,27027.00,FILLED,0.019,0.019
1695258010217,SELL,LIMIT,IOC,0.004,26919.68,27027.70,FILLED,0.004,0.004
1695258010217,SELL,LIMIT,IOC,0.004,26919.68,27027.70,FILLED,0.004,0.004
1695258055723,SELL,LIMIT,IOC,0.827,26918.69,27026.40,FILLED,0.250,0.827
1695258055723,SELL,LIMIT,IOC,0.827,26918.69,27026.40,FILLED,0.250,0.827
1695258059083,SELL,LIMIT,IOC,0.187,26916.37,27020.60,FILLED,0.054,0.187
1695258059083,SELL,LIMIT,IOC,0.187,26916.37,27020.60,FILLED,0.054,0.187
1695258060193,SELL,LIMIT,IOC,0.100,26916.82,27020.60,FILLED,0.100,0.100
1695258060193,SELL,LIMIT,IOC,0.100,26916.82,27020.60,FILLED,0.100,0.100
1695258168386,SELL,LIMIT,IOC,0.304,26915.05,27021.30,FILLED,0.304,0.304
1695258168386,SELL,LIMIT,IOC,0.304,26915.05,27021.30,FILLED,0.304,0.304
1695258221097,SELL,LIMIT,IOC,0.146,26914.37,27013.90,FILLED,0.146,0.146
1695258221097,SELL,LIMIT,IOC,0.146,26914.37,27013.90,FILLED,0.146,0.146
1695258223031,SELL,LIMIT,IOC,0.049,26909.69,27011.40,FILLED,0.049,0.049
1695258223031,SELL,LIMIT,IOC,0.049,26909.69,27011.40,FILLED,0.049,0.049
1695258228030,SELL,LIMIT,IOC,0.027,26908.56,27012.30,FILLED,0.027,0.027
