time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1705394977452,BUY,LIMIT,IOC,0.011,45562.5,45118.2,FILLED,0.011,0.011
1705394977452,BUY,LIMIT,IOC,0.011,45562.5,45118.2,FILLED,0.011,0.011
1705415829655,SELL,LIMIT,IOC,0.030,44170.9,44606.9,FILLED,0.001,0.030
1705415829655,SELL,LIMIT,IOC,0.030,44170.9,44606.9,FILLED,0.001,0.030
1705415904772,SELL,LIMIT,IOC,1.116,44070.7,44431.0,FILLED,0.016,1.116
1705415904772,SELL,LIMIT,IOC,1.116,44070.7,44431.0,FILLED,0.016,1.116
1705415906491,SELL,LIMIT,IOC,0.069,44053.2,44451.3,FILLED,0.005,0.069
1705415906491,SELL,LIMIT,IOC,0.069,44053.2,44451.3,FILLED,0.005,0.069
1705415923051,SELL,LIMIT,IOC,0.003,44025.7,44405.5,FILLED,0.003,0.003
1705415923051,SELL,LIMIT,IOC,0.003,44025.7,44405.5,FILLED,0.003,0.003
1705416127835,SELL,LIMIT,IOC,0.017,43871.2,44284.4,FILLED,0.016,0.017
1705416127835,SELL,LIMIT,IOC,0.017,43871.2,44284.4,FILLED,0.016,0.017
1705416161134,SELL,LIMIT,IOC,0.008,43824.1,44200.0,FILLED,0.008,0.008
1705416161134,SELL,LIMIT,IOC,0.008,43824.1,44200.0,FILLED,0.008,0.008
1705416718188,BUY,LIMIT,IOC,0.657,45020.3,44621.9,FILLED,0.074,0.657
1705416718188,BUY,LIMIT,IOC,0.657,45020.3,44621.9,FILLED,0.074,0.657
1705417305942,BUY,LIMIT,IOC,0.003,45325.4,44889.2,FILLED,0.001,0.003
1705417305942,BUY,LIMIT,IOC,0.003,45325.4,44889.2,FILLED,0.001,0.003
1705420914880,BUY,LIMIT,IOC,0.004,45944.0,45534.0,FILLED,0.004,0.004
1705420914880,BUY,LIMIT,IOC,0.004,45944.0,45534.0,FILLED,0.004,0.004
1705420920130,BUY,LIMIT,IOC,0.004,45977.8,45560.0,FILLED,0.004,0.004
1705420920130,BUY,LIMIT,IOC,0.004,45977.8,45560.0,FILLED,0.004,0.004
1705436181460,BUY,LIMIT,IOC,0.024,45919.3,45489.6,FILLED,0.019,0.024
1705436181460,BUY,LIMIT,IOC,0.024,45919.3,45489.6,FILLED,0.019,0.024
1705440087051,BUY,LIMIT,IOC,0.001,46066.8,45646.2,FILLED,0.001,0.001
1705440087051,BUY,LIMIT,IOC,0.001,46066.8,45646.2,FILLED,0.001,0.001
1705440088480,BUY,LIMIT,IOC,0.006,46078.8,45650.0,FILLED,0.006,0.006
1705440088480,BUY,LIMIT,IOC,0.006,46078.8,45650.0,FILLED,0.006,0.006
1705440682484,BUY,LIMIT,IOC,0.004,46115.2,45663.0,FILLED,0.003,0.004
1705440682484,BUY,LIMIT,IOC,0.004,46115.2,45663.0,FILLED,0.003,0.004
1705440684800,BUY,LIMIT,IOC,0.358,46133.4,45690.4,FILLED,0.007,0.358
1705440684800,BUY,LIMIT,IOC,0.358,46133.4,45690.4,FILLED,0.007,0.358
